Node,Type,X,Y
Central,Network Central,10,10
Sensor1,Sensor,3,4
Sensor2,Sensor,5,1
Sensor3,Sensor,1,2
Sensor4,Sensor,6,6
Sensor5,Sensor,2,5
Sensor6,Sensor,7,3
Sensor7,Sensor,4,7
Sensor8,Sensor,8,9
Sensor9,Sensor,3,7
Sensor10,Sensor,9,2
Sensor11,Sensor,5,9
Sensor12,Sensor,10,7
Sensor13,Sensor,2,8
Sensor14,Sensor,8,4
Sensor15,Sensor,7,8
Sensor16,Sensor,9,5
Sensor17,Sensor,4,3
Sensor18,Sensor,6,1
Sensor19,Sensor,1,5
Sensor20,Sensor,7,6
Sensor21,Sensor,2,1
Sensor22,Sensor,6,9
Sensor23,Sensor,8,2
Sensor24,Sensor,3,10
Sensor25,Sensor,5,7
Sensor26,Sensor,4,1
Sensor27,Sensor,10,6
Sensor28,Sensor,2,4
Sensor29,Sensor,7,10
Sensor30,Sensor,1,8
Sensor31,Sensor,6,2
Sensor32,Sensor,8,7
Sensor33,Sensor,3,6
Sensor34,Sensor,5,3
Sensor35,Sensor,9,8
Sensor36,Sensor,4,9
Sensor37,Sensor,10,3
Sensor38,Sensor,1,1
Sensor39,Sensor,2,9
Sensor40,Sensor,7,5
Sensor41,Sensor,8,3
Sensor42,Sensor,3,1
Sensor43,Sensor,6,5
Sensor44,Sensor,4,8
Sensor45,Sensor,5,6
Sensor46,Sensor,9,10
Sensor47,Sensor,1,4
Sensor48,Sensor,2,2
Sensor49,Sensor,10,5
Sensor50,Sensor,7,7
Sensor51,Sensor,6,8
Sensor52,Sensor,4,5
Sensor53,Sensor,3,9
Sensor54,Sensor,5,10
Sensor55,Sensor,8,1
Sensor56,Sensor,2,3
Sensor57,Sensor,9,4
Sensor58,Sensor,1,7
Sensor59,Sensor,10,1
Sensor60,Sensor,7,9
